Date, Open, High, Low, Close
07/11/22, 21454.50, 21771.82, 21433.66, 21567.70
07/08/22, 21540.63, 21838.99, 21476.32, 21774.18
07/07/22, 21190.46, 21581.00, 21144.35, 21558.07
07/06/22, 20996.82, 21053.53, 20742.77, 20920.99
07/05/22, 21479.42, 21479.42, 20698.58, 20705.06
07/04/22, 21502.87, 21565.92, 21318.44, 21343.93
07/01/22, 21067.45, 21547.37, 21023.94, 21354.65
06/30/22, 21495.06, 21566.44, 21141.06, 21293.86
06/29/22, 21861.50, 21974.57, 21744.26, 21833.50
06/28/22, 22064.97, 22283.11, 22026.43, 22101.23
06/27/22, 22219.46, 22348.52, 21838.75, 21928.81
06/24/22, 21699.97, 22159.69, 21592.76, 22119.20
06/23/22, 21694.16, 21967.94, 21451.79, 21615.00
06/22/22, 21719.22, 21934.99, 21502.21, 21788.57
06/21/22, 22076.79, 22293.73, 22025.63, 22089.41
06/20/22, 21844.61, 22032.13, 21722.93, 22004.05
06/17/22, 21748.46, 22224.27, 21737.10, 21788.87
